analysis,note,reviewed_fingerprint,reviewed_by,reviewed_on,reviewed_note_sha256
dataset,docs/ASSUMPTIONS_AND_LIMITATIONS.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
deeper,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,3852ccbc219bd67ccc02dc410d30017c12de7e5a8e35efa69e0fe36fcc143765,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
loan_comparisons,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,d4cc38268abd343bc38ce1c4248e40c38cef7b0b930cea5079ffd3db42083fae,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
loan_comparisons,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,a7819ab3af21495b5bb42de8a9734aac2cb7ab5e99a0c62d2ab3a133afb81178,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
loan_comparisons,docs/PROJECT_STATUS.md,a7819ab3af21495b5bb42de8a9734aac2cb7ab5e99a0c62d2ab3a133afb81178,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
loan_comparisons,docs/ASSUMPTIONS_AND_LIMITATIONS.md,a7819ab3af21495b5bb42de8a9734aac2cb7ab5e99a0c62d2ab3a133afb81178,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
loan_period_inference,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,548ce4b44f79d5327d8c40ae333f75af4a544ad99766c21144cd58c2f6fb8196,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
loan_period_inference,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,548ce4b44f79d5327d8c40ae333f75af4a544ad99766c21144cd58c2f6fb8196,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
loan_period_inference,docs/PROJECT_STATUS.md,548ce4b44f79d5327d8c40ae333f75af4a544ad99766c21144cd58c2f6fb8196,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
loan_period_inference,docs/ASSUMPTIONS_AND_LIMITATIONS.md,548ce4b44f79d5327d8c40ae333f75af4a544ad99766c21144cd58c2f6fb8196,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
official_policy,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,19f6fde1dc3620b91d06783d0f2a9098928c790fa7cb1afe55b1d191c0a34839,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
official_policy,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,6fe31ecd1e211dc2ccd2956868cb7556ad8b72d35ff905827c6713c2ea0b4f67,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
official_policy,docs/ASSUMPTIONS_AND_LIMITATIONS.md,6fe31ecd1e211dc2ccd2956868cb7556ad8b72d35ff905827c6713c2ea0b4f67,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
peer_geography_validation,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,4b276ab1d0abfc145525fe0749421c0ded66302a82104aa1ab0f64e86841c86e,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
peer_geography_validation,docs/ASSUMPTIONS_AND_LIMITATIONS.md,4b276ab1d0abfc145525fe0749421c0ded66302a82104aa1ab0f64e86841c86e,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
pv_followup,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,fc74a302c108384849d4daf0d62954a89d3909a70b18d205fb1c9ea60d90b613,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
pv_followup,docs/ASSUMPTIONS_AND_LIMITATIONS.md,897f0927d1a20c5fc69ff1d19bd6d9e32d03c8850ebc451d404afb449a3cb387,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
pv_interpretation,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,6c7dd461e26f4b51642d1c596c5a5d14d1d0d6e836ebda565982a6b92bd040a8,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
pv_interpretation,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,ecb1b5b81feae032a77efa36f42d66f44f9654e6549ca117e3ba753750bb34c4,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
pv_interpretation,docs/ASSUMPTIONS_AND_LIMITATIONS.md,ecb1b5b81feae032a77efa36f42d66f44f9654e6549ca117e3ba753750bb34c4,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
regional,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,9d346d4f0e63da32c7a4256337470b4edbf347083dc19fc80830167af881b5a2,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
regional,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,b474cc0e92600af572ad86917bb53472f4622934c41905d3fd31416066d7cf7c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
regional,docs/ASSUMPTIONS_AND_LIMITATIONS.md,b474cc0e92600af572ad86917bb53472f4622934c41905d3fd31416066d7cf7c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
repayment_influence,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,cc04ef0a7faad2fa5a238804fbc053321ceb595b6a59ab7d5fccf90bd3d518a2,codex_root_review_and_independent_standardized_reference_audit,2026-09-10,
repayment_influence,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,840a88d70569d82d16bfdeb050e1fb2affae6fe0b205164fc2b15799eaa93ee1,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
repayment_influence,docs/PROJECT_STATUS.md,840a88d70569d82d16bfdeb050e1fb2affae6fe0b205164fc2b15799eaa93ee1,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
repayment_influence,docs/ASSUMPTIONS_AND_LIMITATIONS.md,840a88d70569d82d16bfdeb050e1fb2affae6fe0b205164fc2b15799eaa93ee1,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
crs_application,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,bc2d4d28bb4e5e214ffe28e20d04c3271ace18e85cc3d08c4ced4a0b0f93a36c,root_agent_explicit_review_20260911,2026-09-11,
crs_application,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,5c9c631eebc358c6b5b22c22d2cfeeaf0417d7c63ecc1f4122d96040d151174c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
crs_application,docs/PROJECT_STATUS.md,5c9c631eebc358c6b5b22c22d2cfeeaf0417d7c63ecc1f4122d96040d151174c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
crs_application,docs/ASSUMPTIONS_AND_LIMITATIONS.md,5c9c631eebc358c6b5b22c22d2cfeeaf0417d7c63ecc1f4122d96040d151174c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
crs_companions,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,0084bd26a520304896a36c57f12603cc973c441af1eaf2fef6674687e37a4edd,root_agent_explicit_review_20260911,2026-09-11,
crs_companions,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,ea31a4b32cd1900ab457c04f0aec46e70480ca13586b78b63fe7bdf045080881,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
crs_companions,docs/PROJECT_STATUS.md,ea31a4b32cd1900ab457c04f0aec46e70480ca13586b78b63fe7bdf045080881,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
crs_companions,docs/ASSUMPTIONS_AND_LIMITATIONS.md,ea31a4b32cd1900ab457c04f0aec46e70480ca13586b78b63fe7bdf045080881,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
regional_followup,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,c0bc6f3443e79a3627cf4ddf29c94037e257f3cbad86b5cfb135db2f62c3f3d1,root_agent_explicit_review_20260911,2026-09-11,
regional_followup,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,a51139ed436e2055440458a51ee5362329c3fef86aa48de8a0ff667cf4dadb6c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
regional_followup,docs/PROJECT_STATUS.md,a51139ed436e2055440458a51ee5362329c3fef86aa48de8a0ff667cf4dadb6c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
regional_followup,docs/ASSUMPTIONS_AND_LIMITATIONS.md,a51139ed436e2055440458a51ee5362329c3fef86aa48de8a0ff667cf4dadb6c,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
source_overlap_currency,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,3469f06e6a9f471ede23082bc1efef0fa70053617c53bf60a6a491395a1e54b0,root_agent_explicit_review_20260911,2026-09-11,
source_overlap_currency,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,86ed92db2a570c209866c56b0d56e0d6c2f29eeb6a04c9fc1c802ea88bfc9034,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
source_overlap_currency,docs/PROJECT_STATUS.md,86ed92db2a570c209866c56b0d56e0d6c2f29eeb6a04c9fc1c802ea88bfc9034,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
source_overlap_currency,docs/ASSUMPTIONS_AND_LIMITATIONS.md,86ed92db2a570c209866c56b0d56e0d6c2f29eeb6a04c9fc1c802ea88bfc9034,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
statistical_review,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,9168af2af0e2e4bb718e2bfb42fa4d1ba24e6fcf163e3e802fccbd58f82b5ff9,root_agent_explicit_review_20260911,2026-09-11,
statistical_review,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,8f81af9df598388494c70ab6f370f189e3f9c38387130a8767a8eaaaf3229f02,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
statistical_review,docs/PROJECT_STATUS.md,8f81af9df598388494c70ab6f370f189e3f9c38387130a8767a8eaaaf3229f02,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
statistical_review,docs/ASSUMPTIONS_AND_LIMITATIONS.md,8f81af9df598388494c70ab6f370f189e3f9c38387130a8767a8eaaaf3229f02,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
crs_modern_summary,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,5bd36db714d038ffde32097656f0102cbbb5cc26c74469831c22af230153ea63,Parent_explicit_substantive_review_with_frozen_note_hashes_20260911_followup,2026-09-11,
crs_modern_summary,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,a9caac18c8ccfeeb95ca71c69ea6e725748a2bbb8c4fc6a7c88bfa81d0b1a310,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
crs_modern_summary,docs/PROJECT_STATUS.md,a9caac18c8ccfeeb95ca71c69ea6e725748a2bbb8c4fc6a7c88bfa81d0b1a310,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
crs_modern_summary,docs/ASSUMPTIONS_AND_LIMITATIONS.md,a9caac18c8ccfeeb95ca71c69ea6e725748a2bbb8c4fc6a7c88bfa81d0b1a310,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
gbohoui_context,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,bce73b4792703fce7e79e9727e9e82ca3c08588e01362a144d2009d8a9e55955,Parent_explicit_substantive_review_with_frozen_note_hashes_20260911_followup,2026-09-11,
gbohoui_context,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,bce73b4792703fce7e79e9727e9e82ca3c08588e01362a144d2009d8a9e55955,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
gbohoui_context,docs/PROJECT_STATUS.md,bce73b4792703fce7e79e9727e9e82ca3c08588e01362a144d2009d8a9e55955,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
gbohoui_context,docs/ASSUMPTIONS_AND_LIMITATIONS.md,bce73b4792703fce7e79e9727e9e82ca3c08588e01362a144d2009d8a9e55955,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
panel_disbursement,docs/thesis_design/PROPOSED_THESIS_DISCUSSION_2026-09-09.md,b3526a1551719ae64a56cb559ca03629d26afaf4a6f136eea2dde4630ce60c83,Parent_explicit_substantive_review_with_frozen_note_hashes_20260911_followup,2026-09-11,
panel_disbursement,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,36ace2d744fc242e7ad02353fb554d66823d727f86bc9ce2548015f653a948c4,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
panel_disbursement,docs/PROJECT_STATUS.md,36ace2d744fc242e7ad02353fb554d66823d727f86bc9ce2548015f653a948c4,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,bec4379c2690a8a6a9dc9bd82c3b3b5428e1c4d72d4e4f6c19c6d34c3484bbf3
panel_disbursement,docs/ASSUMPTIONS_AND_LIMITATIONS.md,36ace2d744fc242e7ad02353fb554d66823d727f86bc9ce2548015f653a948c4,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f558b3f728ab9e3b7800818f9cf4fe0485d5d19cdf80d7c7b36b3b3f885b609e
dataset,docs/PROJECT_CONCEPT_DIAGRAMS.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,c8b3c6071648dade36e08f4b7c2c9da39ad1af07090cdb94b55cf68a0259f5da
dataset,docs/DECISIONS.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,84bbd0d4d354125753a52c89bcf46e11d6a6a7ec34e91e3ba6f6d3dc717a34d1
dataset,docs/WORKLOG.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,514c7ad6b8ca2415da62f689ef19eb0759132774110bbdcc0ec6c000396628f0
dataset,docs/OPEN_TODOS.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,9fb6c5faf5c7b180aae94d5b20af75687df225bd025ce31b0130d16f950bf5a5
dataset,docs/thesis_design/PEER_REVISION_ANALYSIS_UPDATE_2026-09-12.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,b133a212dbe67e9192f50033c2e6f06eb8dde702bbb36796f6e80ddb15935bae
dataset,docs/governance/P15_RESEARCH_ALTERNATIVES_INDEX.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,0f4ec720dc2616d69a292d3c4654d4504b52dd44e577c1a2ce780ce87065d364
dataset,docs/thesis_design/THESIS_EVIDENCE_MAP_2026-09-08.md,7906f3209b77d9b6355ce3670c964894065b9dae6e2c2fd082b0db1609f30d62,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,f0bd7ada459683bc76c3b81a499890fd7ed020a1dddb80b5a36283060b9400ef
rating_nested,docs/governance/P15_CURRENT_RESEARCH_DIRECTION.md,14970449ee29b7e1a63c15210a9f56fdd2cfcd8a74f846c5c88fc16b7d8278b2,Codex_thesis_dependency_audit_main_adoption_review,2026-09-13,3e5bfdd4f63f4e7457cc6a8cded1b71e717f76a7ed176c0a2460deb8674c42f3
